,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5493,7.0,0.0883,0.060964,0.70062186,2.0,0.22249999199247222,0.78987146107631
5494,7.0,0.0882,0.105212,0.00314554,1.0,0.013107466628183045,0.45591723445247684
5495,7.0,0.0884,0.470516,2.848e-05,1.0,0.01001350247130098,0.4604624392606279
5496,7.0,0.0883,0.580173,0.00466361,2.0,0.2616122610019873,0.6956946404728682
5497,7.0,0.0879,0.600103,1.987e-05,2.0,0.28665768370336414,0.7795014185442911
5498,7.0,0.0878,0.662918,0.00014034,1.0,0.011028890359505931,0.46902144339538826
5499,7.0,0.0876,0.695895,0.2119258,2.0,0.21456304166476858,0.8273759488770166
5500,7.0,0.0884,0.859712,0.02187452,2.0,0.25234831873946567,0.8933854988408718
5501,7.0,0.0888,0.396635,0.52839465,0.0,0.013057174905048478,0.45443123362185434
5502,7.0,0.0903,0.133197,0.44849422,1.0,0.05699314528929592,0.4540840602731136
5503,7.0,0.0902,0.51828,0.67922509,1.0,0.06013249655854246,0.45284470613068134
5504,7.0,0.0914,0.126987,0.13516538,1.0,0.04365034631667953,0.45254390970487873
5505,7.0,0.0908,0.174654,0.03060064,1.0,0.027068735906751063,0.4567536154801845
5506,7.0,0.0909,0.244761,5.31e-06,1.0,0.010128644047951175,0.4594927710192281
5507,7.0,0.0912,0.533719,0.00459028,1.0,0.015281410328500781,0.4589181777202501
5508,7.0,0.0925,0.254117,1.397e-05,1.0,0.010189045274917966,0.45876418122712165
5509,7.0,0.0927,0.057734,1.952e-05,0.0,0.005327697398016086,0.45311010689564113
5510,7.0,0.0928,0.398164,0.00016197,2.0,0.3105661153098237,0.673414734985015
5511,7.0,0.0932,0.408846,0.0127894,1.0,0.020904296341164773,0.456120358741792
5512,7.0,0.0933,0.563029,1.69e-06,0.0,0.00491815683793045,0.4519912851933157
5513,7.0,0.0931,0.659421,7.225e-05,2.0,0.35534654622870354,0.8872574013783169
5514,7.0,0.0931,0.666115,3.115e-05,1.0,0.012823844442562142,0.4704012771511268
5515,7.0,0.0928,0.700711,0.00268167,0.0,0.005388410028841297,0.4506096692241894
5516,7.0,0.093,0.767205,0.00056061,0.0,0.004671157970372817,0.4518178482464184
5517,7.0,0.094,0.91533,1.8e-06,1.0,0.01590014755204533,0.4923949263786739
5518,7.0,0.0944,0.93468,0.01840829,2.0,0.3810920048038049,1.2992843588817742
5519,7.0,0.0939,0.995369,0.86694681,2.0,0.25259906557489065,0.7649363097914388
5520,7.0,0.0954,0.486718,1.5e-06,1.0,0.012106203129270646,0.4652117523443591
5521,7.0,0.0949,0.568304,2.017e-05,1.0,0.012055855798304219,0.4661447118133596
5522,7.0,0.0947,0.617618,0.33461483,1.0,0.05561788575642306,0.45464232778653246
5523,7.0,0.0954,0.759479,0.03786985,1.0,0.029643934600207228,0.4572287728629737
